Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Labor force, total,SL.TLF.TOTL.IN,Eswatini,SWZ,290520,295768,299577,302521,304974,306985,310224,313593,317181,320582,323608,327375,331426,335931,340742,345266,353016,360329,367331,374304,369244
Labor force, total,SL.TLF.TOTL.IN,Ethiopia,ETH,28473849,29396181,30377526,31405538,32463723,33556132,34549771,35597468,36712011,37911092,39198185,40615915,42103421,43655859,45168514,46716419,48237030,49794802,51400821,53021350,52799403
Labor force, total,SL.TLF.TOTL.IN,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Fiji,FJI,302281,307487,311836,315831,320178,325147,333806,343778,354507,365216,375132,382756,376486,369240,361562,358244,356403,357467,359386,362135,357050
Labor force, total,SL.TLF.TOTL.IN,Finland,FIN,2586118,2608246,2623353,2620803,2611527,2627895,2661292,2690708,2718910,2689527,2679149,2692288,2698827,2684111,2687528,2695567,2688740,2709253,2742645,2748960,2764089
Labor force, total,SL.TLF.TOTL.IN,France,FRA,27360311,27428363,27764307,28324480,28503485,28785771,28940312,29187472,29400559,29646368,29744936,29747005,29982659,30128151,30070800,30155958,30220666,30263286,30376991,30298621,29951090
Labor force, total,SL.TLF.TOTL.IN,French Polynesia,PYF,96569,98509,100541,102392,104077,105565,107039,108277,109789,111144,112327,113512,114655,115486,116012,116218,116833,117080,117146,117304,115605
Labor force, total,SL.TLF.TOTL.IN,Gabon,GAB,340607,350920,362422,374361,387790,402151,419295,436500,457286,479448,502498,525363,551214,578952,607823,636634,659783,681868,702664,721992,726999
"Labor force, total,SL.TLF.TOTL.IN,""Gambia, The"",GMB,407092,420398,434640,449881,466112,483278,499963,517634,536279,555906,576715,596908,618331,639157,661579,683895,706595,729641,753288,777594,774759"
Labor force, total,SL.TLF.TOTL.IN,Georgia,GEO,2048942,2105452,2033008,2075506,2036509,2026193,2030337,2034084,2040530,2032801,2060426,2070937,2080962,2053726,2072575,2090770,2060003,2002172,1922142,1892372,1890552
Labor force, total,SL.TLF.TOTL.IN,Germany,DEU,40251178,40334537,40451098,40653164,40559921,41254074,41601159,41884470,41889046,41946315,42005792,41658239,41734548,42104557,42318973,42590799,43058646,43288288,43562287,43871267,43356611
