Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Labor force, total,SL.TLF.TOTL.IN,Middle East & North Africa,MEA,94029837,96758033,99604696,103352525,107125417,111024457,114074687,117756173,120129899,124278584,127987321,131063306,134315150,137758834,139898272,142713288,146078037,147957465,149566684,152425660,149088209
Labor force, total,SL.TLF.TOTL.IN,Middle East & North Africa (excluding high income),MNA,80568517,82792718,85087354,88107050,90991060,93812453,95580318,97755352,98541278,101082627,103090440,104771667,106632636,108865134,109902118,111568689,114114606,115373859,116465495,118579062,115213742
Labor force, total,SL.TLF.TOTL.IN,Middle East & North Africa (IDA & IBRD countries),TMN,79946240,82208310,84496062,87448385,90319175,93109676,94852792,96978244,97748116,100258563,102227642,103848638,105670027,107867443,108863155,110448033,112964048,114183880,115251483,117303093,113948606
Labor force, total,SL.TLF.TOTL.IN,Middle income,MIC,2068647954,2097867695,2131439170,2167041105,2205459244,2239534315,2264977838,2294073494,2317589743,2342648474,2363508296,2387615853,2411205412,2434020632,2456105048,2481659596,2503832614,2529148542,2553027969,2579560852,2503966380
Labor force, total,SL.TLF.TOTL.IN,North America,NAC,162928772,164159103,165480536,166493445,167764070,169766751,171838717,173493759,175595353,175831322,175824640,176036623,177896468,178229137,179103057,180282845,182441319,184423518,185824977,188026950,185899068
Labor force, total,SL.TLF.TOTL.IN,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,OECD members,OED,569825360,573615030,578805672,584077129,588869102,596592933,602972289,609238092,616598297,621119950,624954828,628193075,634858658,639330131,644320662,650209474,657454559,664189209,670991669,677687946,665249256
Labor force, total,SL.TLF.TOTL.IN,Other small states,OSS,8049095,8234841,8410183,8650546,8889636,9177025,9552341,9964810,10418394,10863083,11254630,11616649,11987274,12402321,12743024,13099231,13398772,13725237,14061510,14393810,14418351
Labor force, total,SL.TLF.TOTL.IN,Pacific island small states,PSS,659406,675037,689578,702354,715591,729287,746806,765308,784723,806111,825410,841691,845945,849359,852325,859529,868890,881733,896147,912173,917255
Labor force, total,SL.TLF.TOTL.IN,Post-demographic dividend,PST,503949492,505744464,509612743,513040505,516427652,521429431,526336003,531002567,535883872,537110174,537939076,538111393,541693140,544132363,546618049,549704975,554082443,558078598,562012222,566104738,559586032
Labor force, total,SL.TLF.TOTL.IN,Pre-demographic dividend,PRE,203048194,208431195,214110692,220197577,226480301,232916349,239299994,245732945,252210663,258891498,265816399,273157873,278395186,284452476,292473441,301145001,310009154,320188658,331374564,342860673,344295566
Labor force, total,SL.TLF.TOTL.IN,Small states,SST,11434510,11661604,11877531,12169247,12467141,12810794,13239330,13702768,14209105,14701097,15134851,15539194,15955144,16439802,16821663,17224103,17594507,17981260,18345473,18736548,18631008
Labor force, total,SL.TLF.TOTL.IN,South Asia,SAS,510786322,523558859,536918678,551081355,565413238,579189491,584486907,590188804,595800123,602039453,607991975,611862751,616318723,624652331,631955245,640816258,648184817,657691454,664258515,675447767,647141741
Labor force, total,SL.TLF.TOTL.IN,South Asia (IDA & IBRD),TSA,510786322,523558859,536918678,551081355,565413238,579189491,584486907,590188804,595800123,602039453,607991975,611862751,616318723,624652331,631955245,640816258,648184817,657691454,664258515,675447767,647141741
Labor force, total,SL.TLF.TOTL.IN,Sub-Saharan Africa,SSF,257827341,264548123,271513873,278898996,286531310,294377214,302270121,310384286,318666289,326552768,334693178,343717080,350805308,358685960,368233274,379027702,389728134,402341062,415312530,428800565,428466819
Labor force, total,SL.TLF.TOTL.IN,Sub-Saharan Africa (excluding high income),SSA,257307622,264022365,270984331,278366753,285996727,293832842,301722975,309838963,318114502,325995559,334123876,343150588,350231563,358097495,367637411,378423927,389127174,401732942,414706742,428194415,427872537
Labor force, total,SL.TLF.TOTL.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,257827341,264548123,271513873,278898996,286531310,294377214,302270121,310384286,318666289,326552768,334693178,343717080,350805308,358685960,368233274,379027702,389728134,402341062,415312530,428800565,428466819
Labor force, total,SL.TLF.TOTL.IN,Upper middle income,UMC,1249613797,1260158635,1274664135,1289801191,1307505473,1320992379,1333893095,1349746400,1360540858,1371379679,1378028957,1390102167,1404715402,1412910050,1421366541,1432505821,1441076465,1451290191,1460130609,1466795499,1426601512
Labor force, total,SL.TLF.TOTL.IN,World,WLD,2761804104,2798178895,2839836022,2884528177,2932603747,2978294382,3014916613,3055194246,3090713379,3123787953,3153244733,3184494988,3218985123,3251337773,3283848457,3320395978,3355050224,3392584186,3428734191,3468097309,3386467452
